open_time,open,high,low,close,volume,end_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705190460000,42838.01,42838.01,42813.36,42815.21,14.65428,1705190519999,627473.671431,746,8.41097,360125.428699,0
1705190520000,42815.22,42822.23,42788,42810.26,29.20472,1705190579999,1250124.0801552,1279,14.43746,618042.3649143,0
1705190580000,42810.26,42830,42810.25,42829.99,9.64714,1705190639999,413074.7220036,581,7.36961,315548.4116425,0
1705190640000,42829.99,42830,42813.99,42813.99,8.06581,1705190699999,345440.2826528,400,4.16285,178282.8502688,0
1705190700000,42813.99,42824.88,42799.34,42824.88,7.58961,1705190759999,324906.6667202,555,2.709,115966.1613505,0
1705190760000,42824.88,42831.1,42812,42831.1,14.18475,1705190819999,607443.3872267,657,9.35037,400424.8337267,0
1705190820000,42831.1,42870,42831.09,42869.99,9.2911,1705190879999,398093.9934932,663,8.22574,352444.9483306,0
1705190880000,42870,42880,42832.57,42833.89,13.00782,1705190939999,557560.8795067,720,3.80133,162941.6501664,0
1705190940000,42833.89,42850,42833.89,42836.95,15.46631,1705190999999,662614.447619,528,6.94475,297509.622947,0
1705191000000,42836.96,42841.4,42812.91,42812.91,16.20159,1705191059999,693957.7090536,725,6.34961,271960.9478408,0
1705191060000,42812.92,42844,42811.1,42843.99,22.71981,1705191119999,972898.145762,962,11.89575,509395.346024,0
1705191120000,42844,42890.23,42843.99,42886.8,22.77269,1705191179999,976227.897367,866,19.45813,834148.4546882,0
1705191180000,42886.81,42886.81,42852.22,42859.99,13.54004,1705191239999,580434.7148097,560,7.22317,309607.3559267,0
1705191240000,42859.98,42866.44,42824.87,42824.88,38.44135,1705191299999,1647387.8358683,910,11.03386,472830.8651015,0
1705191300000,42824.87,42848,42812,42831.1,13.29335,1705191359999,569338.9810089,998,9.59511,410934.0710023,0
1705191360000,42831.1,42838,42816,42819.99,7.87363,1705191419999,337163.8738191,769,3.4421,147390.657545,0
1705191420000,42820,42840.14,42819.99,42831.76,10.8179,1705191479999,463307.1218375,584,7.92232,339281.3784777,0
1705191480000,42831.77,42831.77,42806.23,42813.65,14.79141,1705191539999,633261.3998743,658,4.31005,184514.5024261,0
1705191540000,42813.64,42818,42805.91,42805.91,16.7817,1705191599999,718499.2839191,474,5.5537,237771.9858887,0
1705191600000,42805.91,42816,42797.65,42814.7,8.54491,1705191659999,365786.6896402,704,4.82206,206421.2533867,0
1705191660000,42814.71,42824,42814,42814.02,6.23115,1705191719999,266785.4770679,474,3.45497,147922.6402639,0
1705191720000,42814.01,42817.99,42800.12,42800.13,13.98512,1705191779999,598708.7278352,468,2.11349,90482.4118339,0
1705191780000,42800.13,42816,42800.12,42816,8.9453,1705191839999,382889.747012,428,7.36446,315218.4446095,0
1705191840000,42815.99,42816,42766.87,42770.6,13.88377,1705191899999,594051.2881914,993,3.78648,162001.3360888,0
1705191900000,42770.59,42770.6,42732,42740,22.44898,1705191959999,959578.7371092,1665,8.27416,353627.3605245,0
1705191960000,42739.99,42766,42739.99,42746,11.64678,1705192019999,497984.3916578,707,4.16284,177971.0528171,0
1705192020000,42746.01,42749.51,42723.99,42729.24,10.33217,1705192079999,441603.347875,831,5.94592,254148.9236253,0
1705192080000,42729.25,42741.1,42722.01,42727.56,15.34642,1705192139999,655780.0420609,744,6.78196,289814.454766,0
1705192140000,42727.57,42741.88,42724,42738.75,12.38444,1705192199999,529252.08748,668,7.38985,315791.9083522,0
1705192200000,42738.76,42738.76,42710.09,42710.1,15.07689,1705192259999,644184.4150344,1106,8.16852,349020.4328916,0
1705192260000,42710.1,42728.55,42702,42724.14,22.62991,1705192319999,966588.5007591,1211,14.1697,605215.3814532,0
1705192320000,42724.13,42774.2,42724.13,42772.01,9.26012,1705192379999,395893.6529739,652,6.52881,279128.866353,0
1705192380000,42772,42772.01,42747.86,42761.1,19.91109,1705192439999,851428.8942467,767,7.90909,338177.5950448,0
1705192440000,42761.1,42761.1,42678.02,42696,38.48129,1705192499999,1643995.5502983,1587,12.79064,546429.4567791,0
1705192500000,42695.99,42724,42695.99,42724,8.29095,1705192559999,354127.309735,594,5.10632,218114.5557671,0
1705192560000,42723.99,42758.28,42723.99,42754.1,12.61166,1705192619999,539091.9514932,729,7.06922,302186.6801404,0
1705192620000,42754.1,42758,42749.18,42757.99,6.98348,1705192679999,298579.8184089,378,5.60148,239495.406019,0
1705192680000,42758,42777.93,42752,42777.93,9.71004,1705192739999,415241.7336052,578,7.91119,338319.5959308,0
1705192740000,42777.93,42777.93,42762,42762,6.04997,1705192799999,258774.3286153,498,1.89009,80846.139966,0
1705192800000,42762,42762.01,42735.9,42740.01,11.96158,1705192859999,511363.4154522,649,4.43884,189752.6107592,0
1705192860000,42740,42758,42740,42758,8.27114,1705192919999,353570.3166388,499,5.55872,237612.5684946,0
1705192920000,42757.99,42758,42750,42756.96,4.66178,1705192979999,199301.2424408,334,2.72382,116448.073719,0
1705192980000,42756.96,42756.96,42742.17,42742.18,8.50082,1705193039999,363432.8241202,362,0.5618,24017.9485472,0
1705193040000,42742.18,42766.58,42742.17,42755.14,11.48188,1705193099999,490892.0658754,595,9.10746,389371.9939177,0
1705193100000,42755.15,42755.15,42715.98,42738.48,40.45053,1705193159999,1728788.815451,1099,9.37541,400591.2305895,0
1705193160000,42738.48,42744.02,42726,42730.44,10.40286,1705193219999,444611.0928494,453,3.97137,169718.1137159,0
1705193220000,42730.43,42730.44,42700,42700.01,6.32399,1705193279999,270158.2722428,467,2.14001,91432.9787924,0
1705193280000,42700,42717.71,42683.01,42698.72,30.18087,1705193339999,1288823.0849151,1050,11.92424,509166.3301508,0
1705193340000,42698.72,42728,42698.72,42724.01,13.53831,1705193399999,578292.551227,645,12.45772,532136.3317117,0
1705193400000,42724,42724.01,42696.64,42696.64,11.21049,1705193459999,478783.4779815,658,4.55293,194433.5828423,0
1705193460000,42696.65,42721.1,42687.81,42715.56,10.60535,1705193519999,452889.7595433,756,6.76201,288785.971059,0
1705193520000,42715.56,42715.56,42695.98,42695.98,11.42622,1705193579999,487965.2134651,718,6.08508,259864.6233593,0
1705193580000,42695.99,42695.99,42680.12,42683.17,10.26262,1705193639999,438088.9359904,608,2.26982,96884.5872917,0
1705193640000,42683.17,42692,42664,42692,33.55119,1705193699999,1431788.6275429,1324,13.25802,565783.2613622,0
1705193700000,42691.99,42707.56,42670,42696.63,58.10927,1705193759999,2480427.7923537,1269,16.36508,698605.36012,0
1705193760000,42696.63,42734,42696.63,42730,16.93005,1705193819999,723222.6400119,684,13.5886,580435.3642538,0
1705193820000,42729.99,42730,42717.99,42717.99,7.9251,1705193879999,338605.8363235,451,3.41382,145855.1447282,0
1705193880000,42717.99,42718,42703.99,42707.99,7.1731,1705193939999,306377.1081715,384,0.7581,32378.1091115,0
1705193940000,42708,42714.74,42687.36,42687.36,28.0628,1705193999999,1198413.0332523,809,11.18394,477573.7015285,0
